PlacementStatusEmployerIfYes,PlacementCategory
No,No
No,No
No,No
No,No
Yes,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
Web developer ,Yes
No,No
No,No
No,No
No,No
No,No
no,No
No,No
No,No
No,No
No,No
,No
No,No
No,No
-,No
no,No
No place,No
No,No
Not Placed,No
No ,No
No,No
Tech Mahindra ,Yes
no,No
No,No
No,No
no,No
No,No
No,No
No,No
NO,No
Yes,Yes
Yes (Graduate trainee engineer),Yes
No,No
No,No
No,No
Not yet ,No
,No
No,No
No,No
No,No
No,No
NO,No
Yes,Yes
No ,No
no,No
No,No
Probably a startup ,Yes
yes,Yes
No,No
No,No
 No,No
No,No
No,No
No,No
No,No
no,No
No,No
no,No
No,No
No,No
No,No
No,No
No,No
No,No
Karmchari,Yes
No,No
No,No
No,No
Not placed yet ,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
no,No
No,No
No,No
No,No
