OriginalRow,OriginalText,CleanText,MatchedCategories,FinalCategory
677,My hobbies is to take knowledge of different technology and to go outside at different places in nature. ,my hobbies is to take knowledge of different technology and to go outside at different places in nature,"Technology & Coding (tech), Education & Study (knowledge)","Education & Study (knowledge), Technology & Coding (tech)"
678,Coding watching movies ,coding watching movies,"Technology & Coding (coding), Entertainment (movie)","Entertainment (movie), Technology & Coding (coding)"
679,Reading swimming & playing badminton ,reading swimming   playing badminton,"Sports (badminton), Reading & Writing (read)","Reading & Writing (read), Sports (badminton)"
680,Long Walks with friends & Bike Rides,long walks with friends   bike rides,Automotive & Racing (bike),Automotive & Racing (bike)
681,Playing games reading books,playing games reading books,"Reading & Writing (read), Gaming (game)","Gaming (game), Reading & Writing (read)"
682,Travelling trekking reading Books,travelling trekking reading books,"Reading & Writing (read), Travel & Adventure (travel)","Reading & Writing (read), Travel & Adventure (travel)"
683,Reading books playing mobile/pc games cooking & singing,reading books playing mobile pc games cooking   singing,"Music & Dance (singing), Reading & Writing (read), Cooking & Baking (cook), Gaming (game)","Cooking & Baking (cook), Gaming (game), Music & Dance (singing), Reading & Writing (read)"
684,Football Gaming Singing,football gaming singing,"Sports (football), Music & Dance (singing), Gaming (gaming)","Gaming (gaming), Music & Dance (singing), Sports (football)"
685,Photography ,photography,Design (photography),Design (photography)
686,I enjoy painting travelling and reading books,i enjoy painting travelling and reading books,"Arts & Crafts (painting), Reading & Writing (read), Travel & Adventure (travel)","Arts & Crafts (painting), Reading & Writing (read), Travel & Adventure (travel)"
687,Reading Singing Travelling ,reading singing travelling,"Music & Dance (singing), Reading & Writing (read), Travel & Adventure (travel)","Music & Dance (singing), Reading & Writing (read), Travel & Adventure (travel)"
688,Grading Fitness Activities Travelling ,grading fitness activities travelling,"Travel & Adventure (travel), Fitness & Gym (fitness)","Fitness & Gym (fitness), Travel & Adventure (travel)"
689,Badminton ,badminton,Sports (badminton),Sports (badminton)
690,trekking,trekking,Travel & Adventure (trek),Travel & Adventure (trek)
691,Reading Games Music Learning ,reading games music learning,"Music & Dance (music), Reading & Writing (read), Gaming (game), Education & Study (learning)","Education & Study (learning), Gaming (game), Music & Dance (music), Reading & Writing (read)"
692,Dancing & art,dancing   art,"Arts & Crafts (art), Music & Dance (dancing)","Arts & Crafts (art), Music & Dance (dancing)"
693,Sports like kabbadi cricket. Hobbies are dancing reading gardening. ,sports like kabbadi cricket  hobbies are dancing reading gardening,"Sports (cricket), Music & Dance (dancing), Reading & Writing (read), Gardening (gardening)","Gardening (gardening), Music & Dance (dancing), Reading & Writing (read), Sports (cricket)"
694,Gardening Cooking Reading.,gardening cooking reading,"Reading & Writing (read), Cooking & Baking (cook), Gardening (gardening)","Cooking & Baking (cook), Gardening (gardening), Reading & Writing (read)"
695,Esports,esports,"Sports (sport), Gaming (esports)","Gaming (esports), Sports (sport)"
696,Sports ,sports,Sports (sport),Sports (sport)
697,Travelling Playing Cricket Table Tennis Singing,travelling playing cricket table tennis singing,"Sports (cricket), Music & Dance (singing), Travel & Adventure (travel)","Music & Dance (singing), Sports (cricket), Travel & Adventure (travel)"
698,Cricket Reading Novels,cricket reading novels,"Sports (cricket), Reading & Writing (read)","Reading & Writing (read), Sports (cricket)"
699,Sports,sports,Sports (sport),Sports (sport)
700,Online gaming drawing  sweeming ,online gaming drawing  sweeming,"Arts & Crafts (drawing), Gaming (gaming)","Arts & Crafts (drawing), Gaming (gaming)"
701,Gaming,gaming,Gaming (gaming),Gaming (gaming)
702,Reading CookingCrocheting,reading cookingcrocheting,"Reading & Writing (read), Cooking & Baking (cook)","Cooking & Baking (cook), Reading & Writing (read)"
703,Meditation Cooking diary writing playing badminton drawing conversation with peers,meditation cooking diary writing playing badminton drawing conversation with peers,"Sports (badminton), Arts & Crafts (drawing), Reading & Writing (writing), Cooking & Baking (cook), Mind & Wellness (meditation)","Arts & Crafts (drawing), Cooking & Baking (cook), Mind & Wellness (meditation), Reading & Writing (writing), Sports (badminton)"
704,Sketching and painting riding bikes,sketching and painting riding bikes,"Arts & Crafts (painting), Automotive & Racing (bike)","Arts & Crafts (painting), Automotive & Racing (bike)"
705,Travelling ,travelling,Travel & Adventure (travel),Travel & Adventure (travel)
706,Singing and Paino Player,singing and paino player,Music & Dance (singing),Music & Dance (singing)
